,text,lable,pred,pred_proba
171,خوبه ولی به نظرم پنبه با کیفیت تر و مقرون به صرفه تره,1,0,0.10636336356401443
188, ارزششو نداشت. اگه دیجی کالا دقت بیشتری کنه در ارسال ممنون میشم.,0,1,0.8270746469497681
214,خيلي خيلي نازك موقع استفاده توي دست لوله ميشه,1,0,0.26259297132492065
260,دور دوزی شده بود ولی ضخامتش خیلی کم بود,0,1,0.6799222230911255
266,بدک نیست ولی کیفیت مطلوبی نداره و تار پود پد خیلی راحت از هم جدا میشه,0,1,0.5467286705970764
377,قبلا گرفته بودم دورش دوخت نداشت ولی از این فروشنده گرفتم خیلی با اون فرق داره و همشون دوخت داره. حالا تفاوتشونو نمیدونم وقتی برای یه برند هستن فرقشون چییه...,0,1,0.8249574899673462
419,دوردوزی پدها کامل صورت نگرفته بود و لایه وسط هر پد ،میاد بیرون,0,1,0.6208760142326355
436,دور دوخت نداشت..بار دومه از دیجی پدآرایش میخرم و دورش درست وصل نشده..,0,1,0.7010788917541504
534,متاسفانه دورش دوخت نداشت,0,1,0.7772191762924194
567,بیرون خیلی ارزون تره,1,0,0.26648253202438354
650,من همبشه از این برند میگیرم ولی این قیمتو تو دیجی‌کالا دیدم تعجب کردم و سفارش دادم با توکه به نظرت همه گفته بودن زبره و خوب نیست چون من این‌مدلو داشتم باور نمیکردم تا این محصول فیک‌ب‌دستم رسید اصصصصلا مناسب نیست,0,1,0.9661664962768555
780,متاسفانه طبق رنگی که سفارش دادم نیوردن.,0,1,0.7704980969429016
803,خوبه در کل در حد معمولی,1,0,0.01883605681359768
899,قیمتش خوبه ولی اصلا دور دوخت نیست باز میشه لایه هاش,0,1,0.5850500464439392
905,دورش یه جوریه سریع از هم باز میشه,0,1,0.7628844380378723
949,من اینو توی فروشگاه ها دیده بودم ۶۰تومن بود اصلا نمی ارزه,0,1,0.9781227707862854
976,دومین بار هست که خرید میکنم و هر بار رنگهای متفاوتی رو سفارش دادم و در کمال ناباوری بازم دوروخت نبود,1,0,0.20742832124233246
989,بسته بندی پاره شده بود. و مجبور شدم چند تا از پدهایی که کنار پارگی بودن بندازم دور,0,1,0.77561354637146
1058,یبار روی پوست بکشی وا میره و نمیتونی خوب استفاده کنی,0,1,0.953039288520813
1103,خیلی چیز خاصی نیست، معمولیه، بسته بندی خوبی هم نداره,1,0,0.39389246702194214
1111,حجم زیادی از محلول پاک کننده رو باید روش بریزی. دو لایه است که دو لایه تقریبا از هم جدا شدن. از پنبه آرایشی بهتره.,1,0,0.12104278057813644
1132,من یاسی سفارش دادم ولی برام سفید ارسال شده و دوخت دورشون بازهست ولی نسبتا نرم هستن,1,0,0.27144479751586914
1187,من فکر میکردم پد با دوبار کشیدن رو صورت از هم باز شه و بهم بریزه ولی اصلا لایه هاش از هم باز نمیشه ، به نظرم اون سه تایی رو بخرید من چون نمیدونستم خوبه یا نه ، فقط یه بسته خریدم,0,1,0.8635448813438416
1193,کلا سفید و اینکه زده رنگبندی داره و رنگ ها گرونتر اصلا چنین چیزی نیست,0,1,0.7433099150657654
1293,من قبلا ازین پد داشتم و راضی بودم. این سری قسمت پنبه ای بین دو لایه ی یک بد براحتی باز میشه و دو لایه پد نازک دارید!,1,0,0.4040745794773102
1347,این محصول نرم ویکدست بوده وفاقدهرگونه ناخالصی است.,0,1,0.6701124906539917
1357,موقع استفاده دورش باز نمیشه,0,1,0.5308347344398499
1385,همین پد بیرون که می‌خری خیلی نرمو لطیفه ولی متاسفانه دیجی کالا خیلی زبره و جدیدن خیلی نازک شده,1,0,0.49190983176231384
1503,جنس معمولی داشت,1,0,0.22264879941940308
1554,دورش اصلا دوخت نداره و بهش دست میزنی لایه هاش از هم جدا میشن و پنبه ی توش مشخص میشه. اما چون من برای درست کردن پد زیر چشم میخوام ازش استفاده کنم مشکلی ندارم.,1,0,0.40314581990242004
1662,کیفیت معمولی داره ارزش خرید نداره مگراینکه تخفیف ۵۰٪ بخوره بهش. من بعداز ۲ دوره استفاده تاثیر خاصی ازش ندیدم. تا یه حدی چربی و رطوبت و بالانس میکنه.در حد خیلی خیلی کم در کل خیلی معمولیه.انتظار خاصی ازش نداشته باشید,0,1,0.9570733308792114
1764,کلا درب ضعیفی داره و خیلی وقتا از همون اول شکسته هست و کلا قابل استفاده نیست به خصوص مدل پوست خشکش همیشه درب هاش شکسته هست,0,1,0.9919044971466064
1893,تم بهتر شده.. بنظرم کاملا شانسیه ک شانسش برا من خیلی خووووب بوود,0,1,0.6279577612876892
1898,سر تونر کاملا بریده بود. دیجی کالا لطفا کالایی که معیوب هست رو ارسال نکنید.,0,1,0.9517907500267029
1918,منافذ باز پوست رو کوچیک میکنه.,0,1,0.6397028565406799
1945,تا به دستم رسید درش شکسته بود من در شامپو فیروز بستم بوی خوبی هم نداره,0,1,0.8931112289428711
1954,متاسفانه کالا بدون جعبه ارسال شده و لیبل دیجی کالا روش نصب شده,0,1,0.7237028479576111
1958,من بعد از پاك كننده آرايش با اين محلول پوستمو تميز ميكنم. بوي ملايم و خوبي داره. پوست من مختلط هست. به نظر ميرسه كنترل زيادي براي تنظيم چربي پوست نداره. چون دقيقا ناحيه تي زون من بعد از استفاده از اين تونر چرب تر شد! به نظرم آب پاك كننده لافارر به مراتب بهتر از اين تونر است.,1,0,0.0009836395038291812
1991,متوسطه,1,0,0.07154959440231323
2000,سلام کیفیت تونر خوبه ولی سر تونر شکسته بود و برای استفاده سخت میشه...اگه قرار باشه هردفعه محصول سر شکسته به دست مشتری برسه که خرید حضوری مطمئن تره,0,1,0.5396727323532104
2115,تاریخ مصرفش گذشته,1,0,0.40780556201934814
2146, روزم که گذشت کلا نابود شد دیگه منم مجبور شدم در دیگه روش ببندم.,0,1,0.9415780305862427
2153,زیاد به دردم نخورد,0,1,0.693332314491272
2187,من مدل آبرسان سفارش دادم ولی مولتی اکتیو فرستادن,0,1,0.52243971824646
2198,متاسفانه درب محصول شکسته بود لطفا فروشگاه دقت کنه,0,1,0.7097054719924927
2204,درش شکسته بود سلفون پیچ بود,0,1,0.6629776954650879
2207,با سلفون به دست من رسید اما کاراییش خوبه,1,0,0.05968310683965683
2233,به نظرم ویتالیر از این بهتره,0,1,0.841156542301178
2279,بالا سفارشم و بخاطر کاهش حجم اینکارو کردن که بازم قابل قبول نیست,0,1,0.6696345806121826
2322,دو سری سفارش دادم اما در هر دوبار زمانی که به دستم رسید درب محصول شکسته بود!!!!!!!!!!,0,1,0.8722074627876282
2355,کاش دیجی کالا بیشتر دقت میکرد تو ارسال محصولات پوستی که اینقدر شکایت ازشرایط فیزیکی محصولی که دست خریدار میرسه وجود نداشته باشه,0,1,0.7699082493782043
2374,این تونر تونر خیلی خوبی است اما از دیجی کالا که خریدم سر کالا شکسته شده بود و مقداری از اون ریخته بود اگر قصد خرید دارید از داروخانه های معتبر خرید کنید,1,0,0.20220060646533966
2376,ابرسانی و پاک کنندگی خوبه داره اما واسه پوست جوش دار خوب نیس ینی من راضی نبودم,0,1,0.7274567484855652
2392,نباید افزایش قیمت بعنوان تخفیف قید بشه این نوعی شوآف است. همچنین وضع پاسخگویی اینترنتی کاملا بد است الکی اسم میاد در خدمتم اما پاسخ هیچ لطفا فرایندها بررسی شود.,0,1,0.8089825510978699
2473,تونر اش کوچیکتر از تصوراتم بود ولی من بارکد اش رو اسکن کردم واسم نیاورد و با این قسمت فکر میکنم فیک باشه,0,1,0.7689765691757202
2507,من دوتا خریدم ولی در یکیشون شکسته بود با اینکه پلمپ بود، جنس درش انگار خوب نیست، بعد از استفاده پوست رو‌ نرم میکنه,0,1,0.5709062218666077
2553,تونر بسیار خوبی هست اما وقتی به دستم رسیده بود دربش شکسته بود و اصلا راضی نیستم .,0,1,0.8450196385383606
2594,ناراضی از جنس پلاستکی که مطمن و محکمدنیست که محتویات کالا درآن قرار دارد,0,1,0.9703295826911926
2619,واسه من اشتباهی شماره ۲که مال پوست خشک فرستادن درصورتیکه من شماره۱ پوست چرب میخواستم,1,0,0.46279820799827576
2686,دربش شکسته بود چون ترسیدم آلوده باشه یه مقدارشو خالی کردم ، چه مدل بسته بندیه مثلا محصول بهداشتیه ها,1,0,0.2101256549358368
2691,واقعا به شعور خریداران توهین میکنین من ابرسان سفارش داده بودم ولی یه مدل دیگشو فرستادین,0,1,0.9881388545036316
2699,درب تونر مشخص بود از قبل شکسته ولی فروشنده باز کالا رو ارسال کرده بود,0,1,0.5974014401435852
2701,متو گذاشته ولی من به قیمت ۳۹ تومن گرفتم که تخفیفم خورده بود تازه,1,0,0.11664672940969467
2703,قبلش از میسلار واتر لافار استفاده کنید که نتیجش واقعا چندبرابر میشه و اینکه در کالا بسته نمیشه متاسفم وقتی از صحت بسته بندی اطمینان حاصل نمیشه,0,1,0.7682534456253052
2719,تونر پوست چرب سفارش داده بودم برای بار چندم دی جی کالا اشتباه فرستاده بود اینبار تونر پدست خشک ارسال شده بود. برگشت ندادم به خاطر دردسرش دادن به خواهرم.,0,1,0.6815425157546997
2747,اشتباه به دستمون رسیده دقت کنن که شاید خودشون اشتباه انتخاب کردن,0,1,0.54367995262146
2783,درب محصولم شکسته بود و بسته نمیشه,0,1,0.9513673186302185
2820,برای پوست خشک سفارش دادم .مناسبه پوست چرب ارسال شده برام,1,0,0.004205659031867981
2863,درب بسته بندی خرلب یود تا باز کردم زد بیرون لافارر مارک خوبیه ولی اصلا به بسته بندیش توجه نمیکنه منم دیگه استفادش نکردم,1,0,0.4596641957759857
2872,توقع بیشتری داشتم.,1,0,0.4761357307434082
2904,درب محصول شکسته بود,0,1,0.7243689894676208
2908,قیمت روی محصول ۳۳۶۰۰ هست ولی دیجی کالا با تخفیف داد ۴۳۷۰۰..,1,0,0.32298699021339417
2950,درب آن شکسته بود. بوی خوبی دارد .,1,0,0.2221531867980957
2993,برای من مولتی اکتیو رو فرستادن و تو بازه یه هفته ای که استفاده میکنم صورتم جوش های ریز زد منتظر ببینم بهتره میشه یا نه,1,0,0.44338056445121765
3009,خيلي غليظه و از نظرم كيفيتش بدك نبود,0,1,0.7209802269935608
3020,چراسفارش منو برعکس فرستادن مولتی اکتیو برام ارسال کردن,0,1,0.6891231536865234
3053,من خیلی تعریفشو شنیدم ولی چون برای پوست خشک و حساس برام فرستادن نمیتونم استفاده کنم,1,0,0.07911942154169083
3142,صورتم شد .ابرسانم میخواستم ولی ونوس مارکت مدل مولتی اکتیو اورد .,1,0,0.1071082353591919
3146,مسئولان دقت کنید دقیقا چه محصولی ثبت کردیم. من مدل آبرسان سفارش دادم ولی مولتی اکتیو برام اومده که قیمتشم کمتره.من کاری به محصولات لافارر ندارم چون محصولاتش عالیه. ولی دیجی کالا خیلی اشتباه داره,0,1,0.519070029258728
3255,متاسفانه پمپش خراب بوده و یه بخشیش داخل کارتن ریخته بود ک اینم مقصرش دیجی کالاس,0,1,0.5433676838874817
3257,م بتونیم راحت محصول انتخاب کنیم ممنون اگه نظر مفید بود لایک کنید,1,0,0.007181304041296244
3272,مقداری از ژل تو سلفونش ریخته بود و میزد تو ذوق . رسیدگی شه لطفا.,0,1,0.5306758284568787
3292,اگر قبلش ارایش رو با میسلاواتر تمیز نکنید با این شوینده اصلا صورت تمیز نمیشه.,1,0,0.45870721340179443
3303,احساس میکنم خوب پاک نمیکنه و لیزه روی پوست باقی میمونه,0,1,0.8634453415870667
3311,البته من هنوز خیلی استفاده نکردم,1,0,0.018027499318122864
3312,وقتی ب دستم رسید همش ریخته بود.قبل ارسال باید چک کنن ک سوراخ نباشه,0,1,0.8269228339195251
3369,نصفش خالی شده بود توی جعبه,0,1,0.5914119482040405
3390,بعد از مصرف کمی پوست خشک میشه که بهتره بعد از مصرف حتما از ژل آلوورا آماده استفاده کرد تا کشیدگی پوست رفع بشه,1,0,0.011178642511367798
3480,از دیجی کالا میخوام ک رسیدگی بشه بیشتر کاربران شکایتشون همینه ک درب محصولات خرابن فک کنم هرکی برگشت میزنه میفرستید ب یه کاربر دیگه,0,1,0.9285278916358948
3486,دستم رسید شکسته شده بود و کارتن خیش شده بود..,0,1,0.7321105003356934
3501,خیلی خوبه ولی واسه اینکه تا از یه محصول تعریف میشه چند برابر میشه واسه همین امتیاز بهش ندادم,1,0,0.021651554852724075
3543,میگم ک چرا کد تخفیفایی ک میدین الکیه یا اصلا ندین یااگه دادین چرا مردوم و گول میزنین همه چیتون خوبه ولی این کد تخفیفایی ک میدین الکیه خیلی بده,0,1,0.9758081436157227
3549,شدید بوی عطر میده و نامطبوعه با این حال پاک کنندگیش خوبه,1,0,0.05704402178525925
3559,بار اول که استفاده کردم به نظرم خیلی معمولی بود و فکر نمیکردم اثر خاصی داشته باشه ولی بعد از چند بار استفاده واقعا منافذ باز صورتم خیلی کوچیک شدن و صورتم صافتر شد این همه تعریف اتفاقی نیست,0,1,0.875095546245575
3617,به من اصلا مناسب نیست و اصلا پاک کنندگی خوبی نداره در کل بد نبود,0,1,0.8621314764022827
3705,امیدوارم روزی بیاد دیگه محصول های اشغال توی بازار ایران نباشه...,1,0,0.1403278410434723
3708,دوستان من باهاش جوش زدم این الان حساسیت عست یا اینکه زیروپوستیا رو میاره روو ، ممنون میشم راهنمایی کنید نمیدونم استفاده کنم یا نه,1,0,0.08028274774551392
3755, سریش خراب بودو وقتی استفاده میکردم از کناره هاش ژل میریخت بیرون,0,1,0.9614624381065369
3824,در کل خوبه,1,0,0.041452549397945404
3900,بسته بندی نامناسب درش شل بود ریخته بود داخل کارتون,0,1,0.5389968752861023
3945,تاریخ روی مخصول پاک کرده بودن,0,1,0.6470178961753845
4167,به نظر شما چرا نباید پمپ نداشته باشه مگه ما پولشو ندادیم,0,1,0.7307648658752441
4173,امتحان نکردم,0,1,0.5006323456764221
4176,نسبتا خوب بود .رایحه ش خوبه .ولی نسبت ب برند ام کیو اثر پایینتر.در،کنترل چربی .در محصول خوب چفت نبود .من هردو مدل رز و این مدل رو گرفتم هردو درشون خوب چفت نبود.ولی حوصله مرجوعی ندارم.زیاد پیشنهاد نمیکنم ب صرف رایحه خوب .بهتره گزینه های دگ رو بررسی کنین,0,1,0.6217136979103088
4286,به شدت عطریه👎🏻ولی قدرت پاک کنندگی خوبی داره,1,0,0.0006480349693447351
4316,استندی بسیار زیبا و کارآمد هست اما متاسفانه استند ارسالی برای من پر از خط و خش و حباب بود.ارزش مرجوع کردن نداشت,0,1,0.5396726727485657
4328,سایزش کوچیکه,1,0,0.48874473571777344
4332,من دوتا گرفتم حفتشم خط و خش داشتم یکیشو مرجوع کردم اون یکی ام پلاستیکش گم شده بود نتونستم مرجوع کنم,0,1,0.5746488571166992
4354,خوب بود ولی من راضی نبودم رنگی که خواستم نبود,1,0,0.11189355701208115
4362,من بی رنگ سفارش داده بودم برام سفید ارسال کردن زیاد دوسش ندارم ولی مرجوع نکردم دیگه,1,0,0.3028744161128998
4374,جنس شفافی نداره,0,1,0.7495052218437195
4400,خیلی ترند شده و من هم خریدم ولی راضی نبودم کیفیتش خوبه محکمه ولی رنگش بده خط و خش داره زیاد لبه هاش زائد داره,0,1,0.9015798568725586
4402,بد نبود ولی شکستگی داشت و شفاف نبود عکس گذاشتم ولی شاید واضح نباشه,1,0,0.22062329947948456
4599,از کیفیت بالایی برخوردار نبود,0,1,0.6947956085205078
4639,چنتا ترک ریز داشت,0,1,0.8339738845825195
4761,رنگ بی رنگ رو گرفته بودم کدر و پر از لکه های داخل خودش بود ک مجبور ب مرجوع شدم.,0,1,0.883414089679718
4811,در قطعه ارسالی تکه خش بود,0,1,0.8536080121994019
4856,اگر مثل من برای لاک میخواهید سفارش ندید اون قسمت کوچیکاش فقط واسه رژ خوبه اون بزرگ ترین جاش هم لاک های کمی جا میشه,0,1,0.5629963278770447
4878,ازون چیزی که الان فکر میکنید خیلی کوچیکتره تقریبا هیچی توش جا نمیشه ولی کیفیتش خوب بود,1,0,0.07810758054256439
4908,مطابق تصویر بود ولی بدلیل بسته بندی افتضاح گوشه استند شکسته بود حداقل نکرده بودن یه پلاستیک حبابی دورش بپیچن بعد داخل جعبه بزارن,0,1,0.7196471691131592
5044,خانه های رژ خیلی کوچکتر بود,0,1,0.5484779477119446
5220,ضعیف بود کیفیتش,0,1,0.8457236886024475
5520,دیجی این کالا رو داخل ضربه گیر قرار بدهید ، استند به دستم رسید اما از چند قسمت شکسته شده .,0,1,0.5895251631736755
5547,جای رژاش برای من بی استفاده موند چون رژ ته مربع زیاد ندارم,0,1,0.6067923307418823
5582,از نظر كيفيت پلاستيك خوب نيست خيلي,0,1,0.8950188755989075
5598,سلام ممنون. از دیجی کالا ما انتظار داریم جنسی که میفرسته خودش یه چک کنه خط و خش داشت.امیدوارم این روند اصلاح بشه چون دیجی کالا فروشگاه در دسترسیه وخیلی رشد داشته,0,1,0.5593895316123962
5657,کوچک و کم جا می باشد,1,0,0.33369147777557373
5801,به نظرم خیلی محصوله کاربدری هست و به درد بخوره ولی چون کوچیکه نمیتونم نظر بدم که کسی بخره یانه کاش بزرگتر بود عاااااالی میشد.,1,0,0.0314926914870739
5870,شفاف جنس خوبی داره ولی خیلی کوچیک اون قسمتی که برای لاک رژ،هیچکدوم از لاک و رژای من داخلش جا نشد,1,0,0.33169037103652954
5924,شیشه ترک خورده بود,0,1,0.5982265472412109
5934,خیلی معمولیه خیلی خشکه,1,0,0.4864964485168457
5937,فقط اولین بار خوبه,1,0,0.27145281434059143
5944,خشک بود ولی خب خودش خیلی قشنگه,1,0,0.04862923175096512
