,comments,sentiment
0,این پد فوق العادس چون دوردوزی داره اصلا دولایه از هم جدا نمیشه راضی بودم پیشنهاد میکنم,خرید این محصول را توصیه می‌کنم
1,پد خوبیه نسبت به قیمتش,خرید این محصول را توصیه می‌کنم
2,خوب و بدرد بخور. دور دوخت نیستن,خرید این محصول را توصیه می‌کنم
3,پد خوبیه نرمه و خوب مواد رو به‌خودش جذب‌میکنه پیشنهاد میکنم بهتون,خرید این محصول را توصیه می‌کنم
4,مشتری همیشگیش هستم,خرید این محصول را توصیه می‌کنم
5,خیلی خیلی راضی هستم,خرید این محصول را توصیه می‌کنم
6,مثل همیشه خوب و کاربردی,خرید این محصول را توصیه می‌کنم
7,کیفیتش خوبه,خرید این محصول را توصیه می‌کنم
8,کیفیت مناسبی داره,خرید این محصول را توصیه می‌کنم
9,خیلی خوبه ولی ای کاش یکم ضخامتش بیشتر بود بسته ای ک برای من ارسال شد بعضی هاش خیلی نازک بودن,خرید این محصول را توصیه می‌کنم
10,خیلی خوبه از خریدش راضیم,خرید این محصول را توصیه می‌کنم
11,عالی از هر نظر تو خریدش شک نکنین,خرید این محصول را توصیه می‌کنم
12,خیلی خوب بود,خرید این محصول را توصیه می‌کنم
13,پداش خیلی خوبه فقط دور دوخت نیست,خرید این محصول را توصیه می‌کنم
14,خوب بود راضیم,خرید این محصول را توصیه می‌کنم
15,کیفیت قبل رو نداره ولی اکیه,خرید این محصول را توصیه می‌کنم
16,عالییییییییییییی,خرید این محصول را توصیه می‌کنم
17,خوب و کاربردی,خرید این محصول را توصیه می‌کنم
18,خوب بود. با توجه به اینکه واسه روتین روزانه حداقل روزی دو سه تا لازم میشه یه بسته تقریبا واسه یه ماه کافیه.,خرید این محصول را توصیه می‌کنم
19,نيازى به تعريف نداره چندساله استفاده ميكنم عاليه,خرید این محصول را توصیه می‌کنم
20,عالی.........,خرید این محصول را توصیه می‌کنم
21,همه جوره عالی بود واقعا توصیه میکنم دوختش هم عالی بود,خرید این محصول را توصیه می‌کنم
22,کیفیت خوبی داره من راضیم,خرید این محصول را توصیه می‌کنم
23,پیشنهاد میکنم قیمت مناسبی هم داره,خرید این محصول را توصیه می‌کنم
24,خوبه من برای روتین پوستی استفاده می کنم. راضیم,خرید این محصول را توصیه می‌کنم
25,پیشنهاد میکنم، حتما بخرید,خرید این محصول را توصیه می‌کنم
26,برای روزمره به درد بخوره پاک کنندگیشم خوبه,خرید این محصول را توصیه می‌کنم
27,راضی میباشم حتما بخرید,خرید این محصول را توصیه می‌کنم
28,دور دوخت داره شل و ول نیست جدا نمیشه .خیبی خوبه به نظر من,خرید این محصول را توصیه می‌کنم
29,خوب بودش بنطرم,خرید این محصول را توصیه می‌کنم
30,بهترين پد,خرید این محصول را توصیه می‌کنم
31,لازمه برای خانما,خرید این محصول را توصیه می‌کنم
32,واقعا به صرفه هست. دور هر کدوم از پدها دوخته شده و پد ها چندلایه هستند.لطیفه .بسته بندی واقعا خوبی داره.,خرید این محصول را توصیه می‌کنم
33,نسبت به قیمت خوبه,خرید این محصول را توصیه می‌کنم
34,ممنون,خرید این محصول را توصیه می‌کنم
35,کار راه بندازه,خرید این محصول را توصیه می‌کنم
36,خوبه بدرد بخوره,خرید این محصول را توصیه می‌کنم
37,خوب است,خرید این محصول را توصیه می‌کنم
38,خوب بود راضی بودم ازش,خرید این محصول را توصیه می‌کنم
39,جنسش عالی بود اصل بود,خرید این محصول را توصیه می‌کنم
40,پلاستیکش خیلی جالب نیس ولی خود پد ها عالی هستند,خرید این محصول را توصیه می‌کنم
41,دور دوزی داشت خیلی خوب بود!!!!,خرید این محصول را توصیه می‌کنم
42,عاالی بود خوشم اومد,خرید این محصول را توصیه می‌کنم
43,همه چیش خوبه ولی خب کوچیک تر از تصویره توی تصویر بزرگ تر نشون میده اندازه پد ها هم متوسطه,خرید این محصول را توصیه می‌کنم
44,نسبت به قیمت بصرفست، من راضی بودم,خرید این محصول را توصیه می‌کنم
45,خیلی وقته استفاده میکنم و راضی هستم,خرید این محصول را توصیه می‌کنم
46,اقتصادی و جمع و جوره,خرید این محصول را توصیه می‌کنم
47,تمام لایه هاش باز میشه انگارپنبه برداشتی,خرید این محصول را توصیه نمی‌کنم
48,خوب بود پیشنهاد میکنم,خرید این محصول را توصیه می‌کنم
49,من از خرید محصول راضی بودن... دولایه از هم جدا نمیشه و کیفیتش خوب بود,خرید این محصول را توصیه می‌کنم
